DriftStudy runs 28+29, 23 slices of 2000 events (~30 min each; slices 0-2 = run 28)
 sl    sigT    cenT   MIPmpv    HGrms   MCPamp     rate    baseHG    baseLG
  0     176   -1523    220.7    49.87      910   211.69    -301.7    -351.4
  1     309   -1414    217.3    52.86      901   197.09    -301.2    -351.6
  2     362   -1444    217.6    55.49      907   197.22    -300.9    -351.7
  3     359   -1578    217.7    52.48      911   210.03    -301.2    -351.6
  4     729   -1401    213.9    51.01      902   213.12    -301.4    -352.3
  5     235   -1473    215.1    50.87      910   213.33    -301.2    -352.3
  6     376   -1496    216.1    52.98      913   207.45    -301.0    -352.3
  7     284   -1453    216.8    52.14      908   202.17    -301.0    -352.4
  8     537   -1329    215.2    52.03      910   191.36    -301.1    -352.4
  9     784   -1425    214.9    54.75      908   186.14    -300.7    -352.4
 10     845   -1381    215.5    53.63      908   188.96    -300.9    -352.4
 11     379   -1501    217.4    52.54      920   192.40    -301.1    -352.4
 12     400   -1371    213.7    53.46      905   204.88    -300.9    -352.4
 13     331   -1353    214.1    51.94      916   203.06    -301.1    -352.5
 14     203   -1516    214.9    49.35      908   200.35    -301.7    -352.5
 15     564   -1439    214.6    51.50      907   189.54    -301.2    -352.5
 16     430   -1434    215.4    52.48      910   195.35    -300.9    -352.5
 17     644   -1403    218.8    53.29      917   194.25    -301.1    -352.2
 18     289   -1451    238.3    59.18      910   196.46    -301.3    -348.3
 19     595   -1599    295.6    79.75      901   186.23    -301.3    -333.0
 20     757   -1483    323.3    92.54      904   200.00    -300.7    -322.8
 21    1452   -1493    339.2    98.28      903   202.13    -300.7    -315.5
 22    1071   -1010    351.1   100.61      908   202.13    -301.0    -311.5
