Run File,Date,Era,Channel Config,Capillary Config,DRS Input Config,SiPM Bias (V),Number of Events,Beam Energy (GeV),Beam File,Cherenkov Counter Pressure (bar; nominal),Notes
RUN_LUAG-2026-08-27-180136,8/27/2026,,A,A,A,28,"10,000",5,T10 RADiCAL 002,0.4,Cherenkov and scintillator counters were not plugged into CAEN unit yet (channels 0 thru 3 were empty for this run)
RUN_LUAG_5GeV-2026-08-27-195743 (run 12),8/27/2026,,A,A,A,28,"25,000",5,T10 RADiCAL 002,0.4,This run was used to find ideal SiPM bias voltage (found that >28 V would be better)
RUN_LUAG_5GeV-2026-08-27-115303 (run 13),8/28/2026,,A,A,A,29,"1,000",5,T10 RADiCAL 002,0.4,This run found that the MCP and RADiCAL module were not aligned. Shifted the y location of the stand by -7 mm
RUN_LUAG_5GeV-2026-08-27-125507 (run 14),8/28/2026,,A,A,A,29,"20,000",5,T10 RADiCAL 002,0.4,
RUN_LUAG_5GeV (run 15),8/28/2026,,A,A,A,29,"20,000",5,T10 RADiCAL 002,0.4,
RUN_LUAG_3GeV (run 24),8/28/2026,,A,A,A,29,"20,000",3,T10 RADiCAL 003,1.3,
RUN_LUAG_1GeV (run 25 & 26),8/28/2026,,A,A,A,29,"10,000",1,T10 RADiCAL 004,1.3,
RUN_LUAG_7GeV (run 27),8/28/2026,,A,A,A,29,"20,000",7,T10 RADiCAL 005,0.21,
RUN_LUAG_9GeV (run 28 & 29),8/28/2026,,A,A,A,29,"45,000",9,T10 RADiCAL 006,0.15,
RUN_LUAG_11GeV (run 30),8/29/2026,,A,A,A,29,,11,T10 RADiCAL 007,0.06,
RUN_DSB1_11GeV (run 31),8/29/2026,,A,B,A,29,,11,T10 RADiCAL 007,0.06,
RUN_DSB1_9GeV (run 32),8/29/2026,,A,B,A,29,,9,T10 RADiCAL 006,0.15,
RUN_DSB1_7GeV (run 33),8/29/2026,,A,B,A,29,,7,T10 RADiCAL 005,0.2,
RUN_DSB1_5GeV (run 34),8/29/2026,,A,B,A,29,,5,T10 RADiCAL 002,1.3,Cherenkov Counter Pressure was too high in this run. Should be <=0.4 bar
RUN_DSB1_3GeV (run 35),8/29/2026,,A,B,A,29,,3,T10 RADiCAL 003,1.3,
RUN_DSB1_1GeV (run 36),8/29/2026,,A,B,A,29,,1,T10 RADiCAL 004,(see note),we lowered pressure from 11->4 bar and changed collimators during run to increase rates.
RUN_DSB1_5GeV (run 37),8/29/2026,,A,B,A,29,,5,T10 RADiCAL 002,0.4,with 0.4 pressure on XCET40 and 0.405 on XCET43
RUN_DSB1_1GeV (run 38),8/29/2026,,A,B,A,29,,1,T10 RADiCAL 004,0.4,with 0.59 on XCET40 and 0.553 on XCET43
RUN_EJ199_1GeV (run 39),8/30/2026,,A,C,A,29,,1,T10 RADiCAL 004,0.6,0.593 for both XCETs
RUN_EJ199_3GeV (run 40),8/30/2026,,A,C,A,29,,3,T10 RADiCAL 003,0.6,0.593 for both XCETs
RUN_EJ199_5GeV (run 41),8/30/2026,,A,C,A,29,,5,T10 RADiCAL 002,0.44,
RUN_EJ199_7GeV (run 42),8/30/2026,,A,C,A,29,,7,T10 RADiCAL 005,0.21,"XCET40 is 0.225 bar, and XCET43 0.22 bar"
RUN_EJ199_9GeV (run 43),8/30/2026,,A,C,A,29,,9,T10 RADiCAL 006,0.15,"XCET40 is .152 bar, and XCET43 is .156 bar"
